N,P,K,temperature,humidity,ph,rainfall,label,N_P_ratio,P_K_ratio,N_K_ratio,total_NPK,temp_humidity,rainfall_ph,temp_sq,rainfall_sq,temp_bin,rain_bin,label_encoded
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,1.245282995372019,1.2926828953004172,1.6097560582986328,160,2019.1877437416465,1999.211427331746,628.7874907137332,66050.99767610489,1,2,20
97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice,1.6440677687446141,1.3720929913466746,2.255813901027584,199,2215.3395675442175,1705.8959727841664,694.811198755381,73635.49722918584,1,2,20
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,1.939999961200001,1.219512165377752,2.365853600832839,188,1975.7062241152603,1840.3121079471791,601.6829678964228,67737.0387329297,1,2,20
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,1.2244897709287803,1.113636338326447,1.3636363326446288,153,1755.504973473851,1499.2681940420155,431.6322646583365,57638.91762748559,1,2,20
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,1.6470587912341415,1.4571428155102053,2.3999999314285736,170,1798.4918276070994,1196.448194860666,497.36021492032603,39195.73254991176,1,1,20
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,1.2807017319175136,1.3902438685306375,1.7804877614515182,171,1821.7497027643356,1585.495842476965,459.95405995650657,74093.77658871977,1,2,20
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice,2.62857135346939,0.8749999781250006,2.2999999425000017,167,1781.6929028252587,1272.0390952686244,491.92218598072446,40035.31927312887,1,1,20
85,37,39,24.52783742,82.73685569,6.364134967999999,224.67572310000003,rice,2.297297235208183,0.9487179243918481,2.1794871236028945,161,2029.3561450063219,1429.8666258413953,601.6148085019523,50479.18055050789,1,2,20
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,1.8490565688857252,1.3947368054016631,2.5789473005540184,189,1654.582853088092,1356.1320081586582,410.75437202182513,73138.72791909591,0,2,20
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,1.6296295994513037,1.227272699380166,1.9999999545454556,186,2158.7563261468426,1433.625238262788,662.3123212552985,54350.59339543962,1,2,20
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,1.7272726958677693,1.309523778344672,2.261904708049888,192,2201.185868763597,1150.5447390492957,717.9902060584973,37383.21658405677,1,1,20
99,57,35,26.75754171,81.17734011,5.960370061,272.29990560000005,rice,1.7368420747922444,1.6285713820408179,2.8285713477551044,191,2172.106063900181,1623.0082049513665,715.9660383623898,74147.23858976894,1,2,20
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,2.435897373438529,1.0833333032407417,2.638888815586422,170,1984.2936327172456,1586.3854283616631,569.4573097732439,81367.19994765386,1,2,20
60,43,44,21.01944696,82.95221726,7.416245107000001,298.40184710000005,rice,1.39534880475933,0.977272705061984,1.3636363326446288,147,1743.6097309109664,2213.0212384751376,441.8171505042532,89043.66235269181,1,2,20
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,1.4318181492768602,1.0731707055324218,1.5365853283759676,148,2023.9742805393269,1435.1179197051408,584.3333677030748,66066.6598558935,1,2,20
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,1.4761904410430848,1.1666666342592602,1.7222221743827175,140,1869.6004384414039,1599.2613562616675,518.9893683602722,61860.804096445005,1,2,20
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,1.4222221906172847,1.0465116035694977,1.4883720584099522,152,2140.8168670984164,1161.7720191898115,656.8867018625812,44058.092994499086,1,2,20
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,1.3833333102777783,1.6666666203703717,2.3055554915123477,179,2051.4778933588136,1386.5613212917397,655.2089369621584,40334.65625467041,1,1,20
82,40,40,23.83067496,84.81360127,6.271478837999999,298.5601175,rice,2.0499999487500014,0.9999999750000007,2.0499999487500014,162,2021.1653640524132,1872.4134587720432,567.9010690491709,89138.1437616138,1,2,20
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,1.6346153531804741,1.1555555298765439,1.8888888469135814,182,2167.3683177970256,1918.304940097408,692.4031756854828,70509.15152161148,1,2,20
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,2.599999925714288,0.9210526073407209,2.3947367790858745,164,2004.8750907798865,1126.7417077114983,619.8746659258933,33738.092852813454,1,1,20
76,49,42,24.958779,84.47963372,5.206373153,196.95600080000003,rice,1.5510203765097883,1.1666666388888896,1.8095237664399104,167,2108.5085080184276,1025.4264348873667,622.940649170841,38791.66625112961,1,1,20
74,39,38,23.24113501,84.59201843,7.782051312999999,233.0453455,rice,1.8974358487836962,1.0263157624653747,1.9473683698060957,151,1966.014521100038,1813.5708369368135,540.1503565530477,54310.13305921437,1,2,20
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,1.8372092595997849,1.102564074293229,2.0256409737015137,161,1748.6771505696352,1488.9341692701905,469.42781730278637,44442.63058980715,1,2,20
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,1.5999999709090915,1.2222221950617291,1.9555555120987664,188,1981.025851430526,1961.3510741205719,606.905326737824,64373.97951914134,1,2,20
60,36,43,23.43121862,83.06310136,5.286203711000001,219.9048349,rice,1.6666666203703717,0.8372092828555981,1.39534880475933,139,1946.2696872213794,1162.4617543152224,549.0220060182347,48358.136412396256,1,2,20
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,1.266666645555556,1.538461499013808,1.9487178987508231,175,1610.6040530696182,1411.3092197028657,401.8186304495616,43506.040027011244,0,2,20
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,1.660714256058674,1.3333333015873023,2.2142856615646274,191,1961.6789982345647,1440.3388230836813,569.1679156862336,38061.99312193752,1,1,20
65,60,43,21.97199397,81.89918197,5.658169482000001,227.3637009,rice,1.0833333152777782,1.39534880475933,1.5116278718226077,168,1799.4883323927727,1286.462353746956,482.76851901771636,51694.25248694466,1,2,20
95,52,36,26.22916897,83.83625819,5.543360237999999,286.5083725,rice,1.8269230417899416,1.444444404320989,2.638888815586422,183,2198.9553818780564,1588.2191199705924,687.9693048568108,82087.04751259876,1,2,20
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,1.973684158587259,0.9743589493754116,1.9230768737672597,152,1988.1340899643178,1764.6800084209794,549.7509301147593,80618.42924507232,1,2,20
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice,1.370370344993142,1.4210525941828265,1.9473683698060957,166,2141.472882339951,1547.796809437708,658.2064561249078,47253.56803581148,1,2,20
91,36,45,24.44345477,82.45432595,5.950647577000001,267.97619480000003,rice,2.5277777075617305,0.7999999822222227,2.0222221772839517,172,2015.468586949662,1594.6318942803005,597.4824810930357,71811.24097948756,1,2,20
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,1.5434782273156908,1.1499999712500009,1.7749999556250011,157,1665.4813411181049,1389.111470978087,411.2862565095198,36846.17449459204,0,1,20
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,1.799999967272728,1.5714285265306136,2.8285713477551044,189,1743.0982715804714,1807.2289541822797,471.9248463508597,77263.21767252422,1,2,20
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,1.7999999550000012,1.0526315512465383,1.8947367922437688,150,1678.233310296744,1861.3076573089436,416.7505972212927,60099.0767363978,0,2,20
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,1.431034458085613,1.2888888602469142,1.844444403456791,186,2151.0369728066257,1443.3531825297382,663.3347631230647,60350.15229564987,1,2,20
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice,1.6034482482164096,1.5263157493074804,2.447368356648201,189,1727.0077346129756,1937.919011190744,424.9870581610988,78145.50302078249,1,2,20
70,36,42,21.84106875,80.72886384,6.9462098810000015,202.3838319,rice,1.9444443904321005,0.8571428367346944,1.666666626984128,148,1763.2046652388292,1405.8005728984233,477.0322841422266,40959.215414527454,1,1,20
76,47,42,20.08369642,83.29114712,5.739175027000001,263.6372176,rice,1.6170212421910375,1.1190475924036287,1.8095237664399104,165,1672.7941132316373,1513.060135437685,403.35486189072077,69504.58250386974,0,2,20
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,2.4146340874479493,1.1388888572530873,2.7499999236111132,176,2023.8610189845106,1230.2193386047309,598.1947848773555,33328.7494419911,1,1,20
99,54,37,21.14347496,80.33502926,5.5948196260000005,198.6730942,rice,1.8333332993827167,1.4594594200146103,2.6756756033601192,190,1698.5616795696772,1111.540126588307,447.046533384147,39470.99835900208,1,1,20
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice,1.4576270939385239,1.685714237551022,2.457142786938778,180,2117.4194422085084,1691.5896030786737,664.97997626688,59298.11430679531,1,2,20
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice,1.4999999673913051,1.121951192147532,1.682926788221298,156,1898.0607509387105,1318.7457243215367,558.9086169268282,69227.04596319718,1,2,20
91,56,37,23.43191632,80.56887849,6.363472207999999,269.5039162,rice,1.6249999709821434,1.5135134726077442,2.459459392987584,184,1887.8832187739279,1714.9806806858608,549.0547024274823,72632.36084713662,1,2,20
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,1.173076900517752,1.2682926519928621,1.4878048417608576,154,2095.340041585,1409.1135852860468,623.8353021146353,41943.11565315411,1,1,20
67,45,38,22.72791041,82.17068809999998,7.300410836,260.8875056,rice,1.48888885580247,1.1842104951523555,1.7631578483379515,150,1867.5680374648525,1904.5859728592507,516.5579116049863,68062.29057819003,1,2,20
79,42,37,24.87300744,82.84022551,6.587918707999999,295.6094492000001,rice,1.8809523361678016,1.135135104455808,2.135135077428782,158,2060.4855454415074,1947.451020646256,618.6664991102953,87384.94645632744,1,2,20
78,43,42,21.32376327,83.00320459,7.283736617000001,192.3197536,rice,1.8139534461871292,1.0238094994331073,1.8571428129251712,163,1769.9406853285373,1400.8064314687379,454.7028799950011,36986.88762476472,1,1,20
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice,1.3888888631687248,1.4999999583333345,2.0833332754629645,165,2223.71772741804,1808.6038514556662,691.4088610591941,66301.8677314099,1,2,20
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice,2.694444369598768,0.7999999822222227,2.1555555076543222,178,1819.612992424076,1929.6146461645676,494.11502366668327,77328.02996016156,1,2,20
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice,1.4255318845631515,1.0681817939049594,1.5227272381198356,158,2186.1981239047213,2206.3552224338796,714.5316007526455,78626.6495230665,1,2,20
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,2.085714226122451,0.9210526073407209,1.9210525810249321,146,2040.3994384410078,930.7175264036091,619.4728610385539,34575.968059387225,1,1,20
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,2.1388888294753103,0.9729729466764069,2.081081024835648,150,2190.016266281062,1193.9480192314368,722.7735862044435,37860.075021227,1,1,20
81,41,38,22.67846116,83.72874389,7.5240800760000015,200.9133156,rice,1.9756097079119586,1.0789473400277017,2.13157889127424,160,1898.8390662849524,1511.6878749090604,514.3126005856286,40366.16038538521,1,1,20
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,1.1929824352108345,1.3255813645213637,1.5813953120605742,168,2097.00275905742,1043.8247480938192,680.6191589207016,33454.00139524598,1,1,20
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice,1.5999999644444454,1.285714248979593,2.057142798367349,152,2109.3191347858988,1124.9671352558828,646.673465705344,38164.5349115051,1,1,20
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice,1.1509433745105024,1.2325581108707417,1.4186046181719858,157,2140.149782239888,1418.2937120738804,697.1306806403451,49892.900809047664,1,2,20
67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice,1.5581394986479187,1.102564074293229,1.7179486738987522,149,2212.9106790266237,1120.5162792915994,678.275334249545,34876.93598507253,1,1,20
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice,1.155172393876338,1.487179449046681,1.7179486738987522,164,2036.3647113174884,1200.4210683932151,639.2160468989173,48450.90853173398,1,2,20
66,60,38,22.08576562,83.47038318,6.372576327000001,231.7364957,rice,1.099999981666667,1.5789473268698073,1.736842059556788,164,1843.5073191250704,1476.7585065997575,487.78104302157396,53701.80343931612,1,2,20
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice,1.9069766998377513,1.1315789175900286,2.1578946800554033,163,1896.267861849514,1237.1711745600426,542.2457938390512,58717.558972482555,1,2,20
84,50,44,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice,1.6799999664000007,1.1363636105371908,1.9090908657024805,178,2074.7153418846956,1084.1199502417503,649.5321111103424,33362.82549904014,1,1,20
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice,1.5283018579565688,1.2619047318594112,1.9285713826530624,176,1918.5811371955974,1210.0753538840822,560.5413241539104,54617.324743732504,1,2,20
91,50,40,20.82477109,84.1341879,6.462391607000001,230.22422230000004,rice,1.8199999636000008,1.249999968750001,2.2749999431250014,181,1752.0752038605476,1487.7990819196227,433.6710909508997,53003.192533639834,1,2,20
93,53,38,26.92995077,81.91411159,7.069172227,290.67937830000005,rice,1.7547169480242086,1.3947368054016631,2.447368356648201,184,2205.9429924869864,2054.862588039987,725.2222484746237,84494.50096887455,1,2,20
90,44,38,23.83509503,83.88387074,7.473134377,241.20135130000003,rice,2.045454498966943,1.157894706371192,2.368420990304711,172,1999.3800305721368,1802.530110178884,568.1117550891307,58178.09186894602,1,2,20
81,45,35,26.52872817,80.12267476,6.158376967000001,218.9163567,rice,1.799999960000001,1.285714248979593,2.3142856481632674,161,2125.55265896136,1348.1694488008363,703.7734183177516,47924.37123080163,1,2,20
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice,1.9499999512500013,1.0526315512465383,2.0526315249307494,156,2219.200218898906,1874.0722950892314,700.3582805262313,61615.97287111633,1,2,20
60,51,36,22.69657794,82.81088865,6.028321557999999,256.9964761,rice,1.1764705651672438,1.416666627314816,1.6666666203703717,147,1879.5237885253864,1549.2573972036614,515.1346501864947,66047.18872781786,1,2,20
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice,1.913043436672969,1.0952380691609984,2.095238045351475,176,1893.2203539351585,1283.1201928192534,514.5271353422645,37738.957013336556,1,1,20
93,47,37,21.53346343,82.14004101,6.500343222000001,295.9248796,rice,1.9787233621548221,1.2702702359386424,2.5135134455807178,177,1768.7595692275354,1923.6132853290262,463.69004729114744,87571.5343662745,1,2,20
60,55,45,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,rice,1.0909090710743805,1.2222221950617291,1.3333333037037045,160,1783.9688681526782,1706.9820404786394,458.33062408759605,82700.354644393,1,2,20
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,2.2285713648979613,0.7954545273760335,1.7727272324380174,157,2247.530380521481,1298.697049827483,704.5563756343169,33717.136460801405,1,1,20
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice,1.756756709276846,0.9249999768750007,1.624999959375001,142,1952.7030093933317,1004.8708588238111,545.6454168559862,35499.70915873223,1,1,20
71,54,16,22.61359953,63.69070564,5.7499144210000015,87.75953857,maize,1.314814790466393,3.374999789062513,4.437499722656267,141,1440.2761111260722,504.60983640394886,511.37488370321614,7701.7366100193185,1,0,11
61,44,17,26.10018422,71.57476937,6.931756557999999,102.2662445,maize,1.3863636048553727,2.588235141868521,3.588235083044995,122,1868.1146660610132,708.8847109749063,681.2196163179369,10458.38476413378,1,0,11
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize,1.8604650730124404,2.68749983203126,4.999999687500019,139,1686.6587692525604,444.2191065146178,555.0180440829826,4451.552351166856,1,0,11
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize,1.2586206679548162,2.7619046303854935,3.476190310657604,152,1152.048671083903,400.0623892919598,398.887156691213,3678.6305093935734,0,0,11
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize,1.6052631156509707,1.8999999050000047,3.0499998475000076,119,1158.536141402657,390.69697212844557,341.47021124801694,4282.178165067947,0,0,11
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,1.6585365449137428,2.5624998398437597,4.249999734375017,125,1258.887492520089,628.7314258771409,474.23307831528206,10421.585982765497,1,0,11
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize,2.268292627602619,2.411764564013849,5.470587913494828,151,1703.9506254220732,637.8453222312461,656.4723769037456,11122.965425600183,1,0,11
89,60,19,25.19192419,66.69029010000001,5.913664501,78.06639649,maize,1.4833333086111116,3.1578945706371275,4.684210279778406,168,1680.0567324083079,461.65847764390406,634.6330443947072,6094.3622609338845,1,0,11
76,44,17,20.41683147,62.55424820000001,5.855442401,65.27798457,maize,1.72727268801653,2.588235141868521,4.470587972318354,137,1277.1595432319511,382.23147870300176,416.8470072743824,4261.215269521158,0,0,11
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize,1.1166666480555558,2.399999904000004,2.679999892800004,152,1664.422272904549,628.0211543377895,621.0872401202894,11928.18443670474,1,0,11
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize,1.590909054752067,2.3157893518005603,3.6842103324099824,133,1712.7225129491437,551.8840419771592,543.6774170979887,8891.948388653178,1,0,11
90,49,21,24.84016732,68.3584573,6.4725232870000005,74.05474936,maize,1.8367346563931704,2.3333332222222274,4.285714081632663,160,1698.0355170690752,479.3210897455484,617.0339124855959,5484.10590277242,1,0,11
62,52,16,22.27526694,58.84015925,6.9670577620000005,63.87020584,maize,1.1923076693786987,3.2499997968750125,3.874999757812515,130,1310.6802540858603,444.98741335810973,496.18751724825705,4079.4031940439695,1,0,11
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize,2.090909043388431,2.7499998281250106,5.749999640625022,152,1241.5394083060003,576.434115967052,356.3605518099588,8979.816613219611,0,0,11
66,54,21,25.19008683,60.200168700000006,5.919045532,72.12375573,maize,1.2222221995884779,2.5714284489795975,3.142856993197286,141,1516.4474767336483,426.9037941047159,634.5404745029393,5201.836140600708,1,0,11
63,58,22,18.25405352,55.28220433,6.204747652999999,63.72358154,maize,1.0862068778240195,2.636363516528931,2.8636362334710803,143,1009.1243165433957,395.3887430010691,333.21046991102435,4060.6948442850285,0,0,11
70,47,17,24.612911800000006,70.4162444,6.600827017,104.1626147,maize,1.4893616704391135,2.764705719723193,4.11764681660901,134,1733.1488127044443,687.5594012731215,605.7954272745795,10849.850301140657,1,0,11
61,41,17,25.1420613,65.26185135,6.021902237000001,76.68456006,maize,1.4878048417608576,2.411764564013849,3.588235083044995,119,1640.817467193188,461.7869237686749,632.1232464129578,5880.5217515957465,1,0,11
66,53,19,23.09348056,60.11593810000001,6.033550195,65.49730729,maize,1.245282995372019,2.7894735373961295,3.4736840277008403,138,1388.2862478585134,395.1812911715544,533.3088443750979,4289.897262240686,1,0,11
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize,1.3454545209917361,2.8947366897507005,3.894736637119124,148,1135.251960493421,529.7499387354907,325.8146791708186,7095.726412782663,0,0,11
77,57,21,24.9321581,73.80435276,6.550563822999999,79.74078719,maize,1.3508771692828567,2.7142855850340197,3.6666664920635004,155,1840.1017914804913,522.3471157843558,621.6125075233955,6358.593141680869,1,0,11
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize,1.979999960400001,3.333333111111126,6.59999956000003,164,1290.1581940490867,490.88134465151313,329.3172580088683,7757.65259620995,0,0,11
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize,1.3214285478316332,2.545454429752071,3.3636362107438083,152,1218.777635249906,552.9994157986457,334.2908462374196,6557.06930411651,0,0,11
83,45,21,18.83344471,58.75082029,5.716222912,79.75328959999999,maize,1.844444403456791,2.1428570408163314,3.9523807641723443,149,1106.480325598861,455.88758131889125,354.69863964462695,6360.5872020214665,0,0,11
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize,2.0833332899305566,2.9999998125000116,6.249999609375024,164,1728.8774104821364,413.5504677357861,661.4648088358306,5552.471500835782,1,0,11
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize,1.5490195774702045,3.187499800781262,4.937499691406269,146,1735.6098705548375,635.3341940413687,642.0130830133648,9305.265121375793,1,0,11
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize,2.4102563484549657,2.166666546296303,5.2222219320987815,151,1373.4483983799005,605.9879115107368,570.7868433364514,10574.048839209712,1,0,11
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize,1.5306122136609752,3.2666664488889037,4.999999666666689,139,1540.00061095983,606.5349991049524,463.78815204838116,10503.23526079879,1,0,11
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize,1.624999966145834,2.1818180826446323,3.545454384297528,148,1457.0692940691524,393.63512905369913,533.136513039156,4961.052048067949,1,0,11
87,54,20,25.61707368,63.4711755,6.576418207000001,108.8303762,maize,1.6111110812757208,2.6999998650000068,4.349999782500011,161,1625.945779339711,715.7140675163396,656.2344639265488,11844.050783833527,1,0,11
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize,2.4857142146938798,1.3999999440000022,3.4799998608000053,147,1354.529420634896,407.0691142377169,459.89957191827943,4341.427775784661,1,0,11
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize,1.4651162449972968,2.263157775623275,3.315789299168984,125,1028.3375832263325,604.334113983988,342.92253718750345,8278.8254247786,0,0,11
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize,1.4736841846722073,2.2799999088000034,3.359999865600005,166,1532.2198198291549,417.95039725510395,507.8309636708544,4148.475533234354,1,0,11
64,35,23,23.02038334,61.89472002,5.680361037999999,63.03843397,maize,1.8285713763265323,1.5217390642722146,2.7826085746691924,122,1424.8401815823725,358.0810642197236,529.9380491205495,3973.84415739005,1,0,11
60,46,22,24.89364635,65.61418761,6.625404347999999,87.9298085,maize,1.3043477977315696,2.090908995867773,2.727272603305791,128,1633.3763819058918,582.5705355547072,619.6936285988684,7731.651222846671,1,0,11
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize,2.227272676652894,2.0952379954648572,4.666666444444455,163,1909.406208931981,701.3369678362147,664.1831573375264,11554.786261852949,1,0,11
